"","ENST00000647299.1","ENST00000340811.9","ENST00000845472.1","ENST00000686347.1","ENST00000645161.1","ENST00000643989.1","ENST00000683681.1","ENST00000966471.1","ENST00000623877.1","ENST00000898481.1","ENST00000764379.1","ENST00000692033.2","ENST00000599097.1","ENST00000909476.1","MSTRG.17093.4","ENST00000911948.1","MSTRG.22985.1","ENST00000971963.1","ENST00000875642.1","ENST00000875643.1"
"ENST00000647299.1",1,-0.510601098484957,0.978866029908295,0.990038834709128,-0.943342526069634,0.990985215354569,-0.509406089845645,0.986195618624675,0.407884110643258,0.980750857681436,0.52402332861263,0.604441249869618,-0.952126340261522,0.630543613814234,0.0706558090196462,-0.315264289945949,0.988067253217527,0.939156431412992,0.850296829459952,0.846379724023944
"ENST00000340811.9",-0.510601098484957,1,-0.530893498841777,-0.491674788892833,0.484838353985199,-0.490476429502205,0.98634501596874,-0.489213634430469,-0.94231959143348,-0.487077859289639,-0.917240334273369,-0.869826481342639,0.485440200609176,-0.921882282649533,0.739531677215828,0.856579496066944,-0.511929130496026,-0.368770502063303,-0.197740217721101,-0.194470563102603
"ENST00000845472.1",0.978866029908295,-0.530893498841777,1,0.963813513372127,-0.870571080966914,0.975837153212331,-0.529650997954973,0.970004268535992,0.421012087767751,0.974391265315733,0.585525484940851,0.65585353819559,-0.966028580317391,0.587727977399171,0.0564230688575666,-0.311593026121538,0.957659882874558,0.916500744189565,0.8213496023187,0.816226262998853
"ENST00000686347.1",0.990038834709128,-0.491674788892833,0.963813513372127,1,-0.927798279970898,0.984711473341831,-0.490524075307997,0.979366524401764,0.380051053077517,0.975105911847466,0.50912183064097,0.607807779630676,-0.948506403522848,0.604757320766918,0.0980302701634389,-0.329890572249927,0.971753699772715,0.929866663923161,0.859366275856804,0.858372381064566
"ENST00000645161.1",-0.943342526069634,0.484838353985199,-0.870571080966914,-0.927798279970898,1,-0.926050354741602,0.490083580456834,-0.932378444166883,-0.380747734611096,-0.899707484258843,-0.419995766355788,-0.497012904529185,0.847123550340626,-0.668933437006058,-0.0493694409051229,0.29596628570471,-0.956404200030231,-0.877951544686169,-0.765288671549876,-0.761422170146203
"ENST00000643989.1",0.990985215354569,-0.490476429502205,0.975837153212331,0.984711473341831,-0.926050354741602,1,-0.48932852055259,0.993081879639529,0.382253639869119,0.96786185463175,0.525603537826989,0.605519474127025,-0.94619460804053,0.610036502777171,0.109468774689935,-0.328384742268673,0.966803603139477,0.934063025195962,0.847259121157805,0.845548115844917
"ENST00000683681.1",-0.509406089845645,0.98634501596874,-0.529650997954973,-0.490524075307997,0.490083580456834,-0.48932852055259,1,-0.488068680921069,-0.923074925515759,-0.485937904339296,-0.906720251405076,-0.87135242804859,0.455760184990325,-0.919724713275977,0.750977427629272,0.846338666961075,-0.511160659210876,-0.358020365495829,-0.148857556682502,-0.145305459012628
"ENST00000966471.1",0.986195618624675,-0.489213634430469,0.970004268535992,0.979366524401764,-0.932378444166883,0.993081879639529,-0.488068680921069,1,0.387876136327802,0.971112737653764,0.535716990762842,0.62424720521937,-0.943758507514455,0.609431010864863,0.0992218670893347,-0.298054647451898,0.968660890678589,0.929262039582854,0.843312774956279,0.841865376031101
"ENST00000623877.1",0.407884110643258,-0.94231959143348,0.421012087767751,0.380051053077517,-0.380747734611096,0.382253639869119,-0.923074925515759,0.387876136327802,1,0.400384730074769,0.861898926040095,0.825937237702415,-0.350429861904656,0.899867539062628,-0.788895455205251,-0.807009319810875,0.399544395726251,0.298507601351997,0.139381441024602,0.135476359943401
"ENST00000898481.1",0.980750857681436,-0.487077859289639,0.974391265315733,0.975105911847466,-0.899707484258843,0.96786185463175,-0.485937904339296,0.971112737653764,0.400384730074769,1,0.523062925876455,0.596327014909377,-0.939638311719744,0.583789741758315,0.073964851844395,-0.236952616262429,0.969833678530679,0.913278673529392,0.843416271562457,0.839522472362518
"ENST00000764379.1",0.52402332861263,-0.917240334273369,0.585525484940851,0.50912183064097,-0.419995766355788,0.525603537826989,-0.906720251405076,0.535716990762842,0.861898926040095,0.523062925876455,1,0.913432560468375,-0.557692620814338,0.818988077719151,-0.639889128280292,-0.774910322634107,0.51238712331029,0.437165488330773,0.282150285922284,0.280808022500952
"ENST00000692033.2",0.604441249869618,-0.869826481342639,0.65585353819559,0.607807779630676,-0.497012904529185,0.605519474127025,-0.87135242804859,0.62424720521937,0.825937237702415,0.596327014909377,0.913432560468375,1,-0.607459775617345,0.797366070769351,-0.572073162185236,-0.743838011307108,0.567341363309129,0.488937791546804,0.366661759731947,0.366512700233876
"ENST00000599097.1",-0.952126340261522,0.485440200609176,-0.966028580317391,-0.948506403522848,0.847123550340626,-0.94619460804053,0.455760184990325,-0.943758507514455,-0.350429861904656,-0.939638311719744,-0.557692620814338,-0.607459775617345,1,-0.526683487428738,-0.130861122715053,0.284970058977653,-0.943166323023721,-0.904119348775404,-0.878707339502129,-0.875378825692784
"ENST00000909476.1",0.630543613814234,-0.921882282649533,0.587727977399171,0.604757320766918,-0.668933437006058,0.610036502777171,-0.919724713275977,0.609431010864863,0.899867539062628,0.583789741758315,0.818988077719151,0.797366070769351,-0.526683487428738,1,-0.655619668220992,-0.802526770343771,0.632461460118834,0.506912750686265,0.346489098893625,0.343059611587944
"MSTRG.17093.4",0.0706558090196462,0.739531677215828,0.0564230688575666,0.0980302701634389,-0.0493694409051229,0.109468774689935,0.750977427629272,0.0992218670893347,-0.788895455205251,0.073964851844395,-0.639889128280292,-0.572073162185236,-0.130861122715053,-0.655619668220992,1,0.696950750711746,0.0613956467373103,0.178371354536408,0.281984023175533,0.286180325973256
"ENST00000911948.1",-0.315264289945949,0.856579496066944,-0.311593026121538,-0.329890572249927,0.29596628570471,-0.328384742268673,0.846338666961075,-0.298054647451898,-0.807009319810875,-0.236952616262429,-0.774910322634107,-0.743838011307108,0.284970058977653,-0.802526770343771,0.696950750711746,1,-0.278997661123266,-0.226114063594796,-0.1013467121565,-0.107321208342836
"MSTRG.22985.1",0.988067253217527,-0.511929130496026,0.957659882874558,0.971753699772715,-0.956404200030231,0.966803603139477,-0.511160659210876,0.968660890678589,0.399544395726251,0.969833678530679,0.51238712331029,0.567341363309129,-0.943166323023721,0.632461460118834,0.0613956467373103,-0.278997661123266,1,0.916789753635009,0.820054194926563,0.815145106765267
"ENST00000971963.1",0.939156431412992,-0.368770502063303,0.916500744189565,0.929866663923161,-0.877951544686169,0.934063025195962,-0.358020365495829,0.929262039582854,0.298507601351997,0.913278673529392,0.437165488330773,0.488937791546804,-0.904119348775404,0.506912750686265,0.178371354536408,-0.226114063594796,0.916789753635009,1,0.872155188338177,0.867566350568839
"ENST00000875642.1",0.850296829459952,-0.197740217721101,0.8213496023187,0.859366275856804,-0.765288671549876,0.847259121157805,-0.148857556682502,0.843312774956279,0.139381441024602,0.843416271562457,0.282150285922284,0.366661759731947,-0.878707339502129,0.346489098893625,0.281984023175533,-0.1013467121565,0.820054194926563,0.872155188338177,1,0.999573518953224
